@relation spk4m

@attribute IdW numeric
@attribute TotLines numeric
@attribute PoS {NNP,VBZ,NNS,VBD,PRP,PRP$,TO,VB,JJ,IN,RB,CD,DT,NN,MD,VBN,CC,RBR,VBG,VBP,PDT,WP,JJR,RP,WRB,WDT,RBS,EX,JJS,NNPS,$}
@attribute DepId numeric
@attribute DepRel {TITLE,SBJ,ROOT,OBJ,NAME,POSTHON,NMOD,OPRD,IM,PRD,TMP,DEP,PMOD,LOC,DIR,ADV,VC,APPO,COORD,CONJ,AMOD,EXT,MNR,PRP,PRT,LGS,SUB,LOCbPRD}
@attribute Prop {P2,Foc,P3,P4,BACK,A1,A2}
@attribute Emb {yes,no}
@attribute Them {T1,R1,SP1,SP2,R1-1,R1-2}
@attribute TH2 {T1,R1,SP1}
@attribute TH3 {T1,R1}
@attribute TotSpans numeric
@attribute LocSpan {A,Z,B,C,U,D,E,F,G,H}
@attribute IntRange numeric
@attribute 'min [dB]' numeric
@attribute 'RMS [dB]' numeric
@attribute 'max [dB]' numeric
@attribute 'MinPitch (Hz)' numeric
@attribute 'MaxPitch (Hz)' numeric
@attribute PitchRange numeric
@attribute 'Speech ratio' numeric
@attribute Duration[ms] numeric
@attribute ToBI {S,L*+H,LL-,HL-,U,H*,L*,LH-,HH-}

@data
7,8,DT,9,NMOD,?,?,R1,?,?,2,Z,12,64,70,76,95,104,9,0.215,0.215,S
8,8,NNS,7,OBJ,?,?,R1,?,?,2,Z,22,50,61,72,60,292,232,0.24,0.72,LL-
1,18,DT,3,NMOD,?,?,T1,?,?,3,A,19,58,68,76,118,125,7,0.111,0.111,U
2,18,VBN,3,NMOD,?,?,T1,?,?,3,A,29,49,66,78,115,265,149,0.248,0.496,L*+H
3,18,NNS,5,SBJ,?,?,T1,?,?,3,A,25,49,66,73,114,128,14,0.41,0.41,HL-
4,18,RB,5,ADV,?,?,R1,?,?,3,B,23,55,72,79,117,161,44,0.195,0.389,L*+H
5,18,MD,18,OBJ,?,?,R1,?,?,3,B,12,62,69,75,113,142,29,0.132,0.132,U
6,18,VB,5,VC,?,?,R1,?,?,3,B,15,56,66,72,113,122,9,0.096,0.096,S
7,18,JJR,6,PRD,?,?,R1,?,?,3,B,20,56,68,76,115,131,16,0.139,0.278,L*
8,18,IN,6,ADV,?,?,R1,?,?,3,B,2,72,73,74,108,115,8,0.111,0.111,S
9,18,DT,10,NMOD,?,?,R1,?,?,3,B,15,57,68,72,103,113,11,0.152,0.152,U
10,18,NNS,8,PMOD,?,?,R1,?,?,3,B,21,54,70,75,97,127,29,0.236,0.708,HL-
11,18,RB,12,ADV,?,?,R1,?,?,3,B,21,55,69,76,119,130,11,0.293,0.293,H*
12,18,VBN,10,APPO,?,?,R1,?,?,3,B,18,58,70,76,96,232,136,0.202,0.405,S
13,18,TO,12,OPRD,?,?,R1,?,?,3,B,13,55,62,68,0,0,0,0.116,0.116,U
14,18,VB,13,IM,?,?,R1,?,?,3,B,21,53,69,74,93,97,4,0.202,0.202,S
15,18,NNS,14,OBJ,?,?,R1,?,?,3,B,28,41,58,70,42,93,50,0.425,0.85,LL-
17,18,PRP,18,SBJ,?,?,SP1,?,?,3,Z,25,39,57,64,0,0,0,0.163,0.163,U
18,18,VBD,0,ROOT,?,?,SP1,?,?,3,Z,16,51,60,67,33,33,0,0.294,0.294,LL-
1,21,NNS,2,SBJ,?,?,T1,?,?,4,A,23,56,71,79,139,169,31,0.126,0.377,L*+H
2,21,MD,0,ROOT,?,?,R1,?,?,4,B,14,62,69,76,129,162,33,0.148,0.148,U
3,21,VB,2,VC,?,?,R1,?,?,4,B,15,60,69,75,129,146,17,0.124,0.124,S
4,21,VBN,3,VC,?,?,R1,?,?,4,B,22,54,68,77,108,156,48,0.266,0.531,S
5,21,TO,4,OPRD,?,?,R1,?,?,4,B,15,54,63,69,104,127,23,0.179,0.179,U
6,21,VB,5,IM,?,?,R1,?,?,4,B,21,57,69,78,62,151,90,0.213,0.426,L*+H
